[15:32:05] [ServerMain/INFO]: Building unoptimized datafixer
[15:32:08] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:32:14] [ServerMain/INFO]: Loaded 7 recipes
[15:32:14] [ServerMain/INFO]: Loaded 1179 advancements
[15:32:18] [Server thread/INFO]: Starting minecraft server version 1.19
[15:32:18] [Server thread/INFO]: Loading properties
[15:32:18] [Server thread/INFO]: Default game type: SURVIVAL
[15:32:18] [Server thread/INFO]: Generating keypair
[15:32:19] [Server thread/INFO]: Starting Minecraft server on *:50301
[15:32:19] [Server thread/INFO]: Using epoll channel type
[15:32:19] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[15:32:19] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[15:32:19] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[15:32:19] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[15:32:19] [Server thread/INFO]: Preparing level "world"
[15:32:39] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
